,Date,Open,High,Low,Close,Volume,Ticker,SMA_20,STD_20,TP,TP_SMA,MD,CCI,RSI,BU,BL
0,2016-02-01,1033.530029296875,1037.27001953125,1020.5900268554688,1032.3900146484375,4322530000,^RUT,1032.784490966797,36.55851293949331,1030.0833536783855,1012.7626182919457,11.061095360995962,104.39433480531397,58.983350550566215,1105.9015168457836,959.6674650878103
1,2016-02-02,1030.56005859375,1030.56005859375,1005.4000244140625,1008.8400268554688,4463190000,^RUT,1027.795492553711,32.215135431978936,1014.9333699544271,1010.739763532366,8.913580031622027,31.364924135859578,54.71929197321394,1092.225763417669,963.3652216897532
2,2016-02-03,1009.5,1016.9199829101562,989.25,1010.2999877929688,5172950000,^RUT,1022.7884948730468,25.846786741472307,1005.489990234375,1009.5476190476192,8.301096805909863,-32.58708985986343,53.78887351399396,1074.4820683559915,971.0949213901022
3,2016-02-04,1009.9299926757812,1025.1099853515625,1008.5900268554688,1014.7899780273438,5193320000,^RUT,1018.8094940185547,19.62341170354793,1016.163330078125,1009.3004760742188,8.018647693452383,57.05745129992518,55.913241026930784,1058.0563174256506,979.5626706114588
4,2016-02-05,1014.3099975585938,1014.3099975585938,985.6199951171875,985.6199951171875,4929940000,^RUT,1014.8619964599609,17.788755402563222,995.1833292643229,1008.5845249720982,8.63232006669855,-103.4962837663533,38.57887409516481,1050.4395072650873,979.2844856548345
5,2016-02-08,982.1500244140625,982.1500244140625,955.7100219726562,969.3400268554688,5636460000,^RUT,1011.0190002441407,18.92807225917486,969.0666910807291,1006.4245271228608,10.680717831566223,-233.17930892698882,40.42625844763974,1048.8751447624904,973.1628557257909
6,2016-02-09,967.8499755859375,975.1400146484375,957.0900268554688,963.9000244140625,5132140000,^RUT,1007.1190002441406,20.221831218830555,965.3766886393229,1004.7497674851192,12.646018930032962,-207.565079379985,29.398763761179865,1047.5626626818016,966.6753378064794
7,2016-02-10,965.52001953125,983.4500122070312,963.3200073242188,963.47998046875,4471170000,^RUT,1003.0580017089844,20.431823335293004,970.0833333333334,1002.51857648577,15.766323375053178,-137.14989170634618,33.13577145589089,1043.9216483795703,962.1943550383984
8,2016-02-11,958.8900146484375,958.8900146484375,943.0999755859375,953.719970703125,5500800000,^RUT,1000.2345001220704,23.119439685604284,951.9033203125,998.0757184709821,19.823604246386076,-155.27750851832616,30.285637132244375,1046.473379493279,953.9956207508618
9,2016-02-12,955.3400268554688,972.8699951171875,955.3400268554688,971.989990234375,4696920000,^RUT,997.5504974365234,23.127073878034413,966.7333374023438,995.393814813523,22.002312692655202,-86.84080263600863,21.657855871177176,1043.8046451925923,951.2963496804546
10,2016-02-16,972.4500122070312,996.3900146484375,972.4500122070312,995.7999877929688,4570670000,^RUT,996.9544982910156,23.004474593234097,988.2133382161459,993.702625093006,21.54843451052296,-16.982786303043515,36.20805240972753,1042.963447477484,950.9455491045475
11,2016-02-17,997.8300170898438,1016.280029296875,997.8300170898438,1011.1300048828125,5011540000,^RUT,997.7674987792968,23.21330336894838,1008.4133504231771,993.7461983816964,21.585783043686213,45.29880311127832,50.920187319029495,1044.1941055171935,951.3408920414
12,2016-02-18,1011.97998046875,1013.5999755859375,1002.4099731445312,1004.7100219726562,4436490000,^RUT,998.0375,23.263539266980303,1006.9066569010416,993.807864234561,21.638639488998724,40.35618065895569,47.83987742968387,1044.5645785339607,951.5104214660394
13,2016-02-19,1003.719970703125,1010.719970703125,998.27001953125,1010.010009765625,4142850000,^RUT,998.6709991455078,23.415560529444853,1006.3333333333334,992.4916730608259,20.510475625797206,44.99053890002778,48.16437487958215,1045.5021202043974,951.8398780866181
14,2016-02-22,1010.3900146484375,1025.280029296875,1010.3900146484375,1021.739990234375,4054710000,^RUT,998.725,23.47012218672543,1019.1366780598959,991.7097676595051,19.840270996093718,92.1590583979111,66.01631429097247,1045.6652443734508,951.7847556265492
15,2016-02-23,1021.25,1021.25,1012.1500244140625,1012.1500244140625,3890650000,^RUT,999.4640014648437,23.65715520193628,1015.183349609375,991.7276233491442,19.855575872927286,78.75445638156901,70.18006722095276,1046.7783118687162,952.1496910609711
16,2016-02-24,1010.0999755859375,1023.0599975585938,996.7000122070312,1022.0800170898438,4317250000,^RUT,999.6695037841797,23.843489118965717,1013.9466756184896,992.3316723051524,20.373332120934297,70.72972709302022,76.31150233381086,1047.356482022111,951.9825255462483
17,2016-02-25,1022.9600219726562,1031.5799560546875,1020.4600219726562,1031.5799560546875,4118210000,^RUT,1001.1110015869141,24.88812513590135,1027.873311360677,993.1680995396206,21.090269750478292,109.70370770236154,78.46039649419951,1050.8872518587168,951.3347513151114
18,2016-02-26,1031.5899658203125,1039.7099609375,1031.5899658203125,1037.1800537109375,4348510000,^RUT,1002.8065032958984,26.16524143186064,1036.1599934895833,996.0950041271391,23.599045111208518,113.18251557394599,86.13616952004837,1055.1369861596197,950.4760204321772
19,2016-02-29,1037.2099609375,1044.9100341796875,1033.6700439453125,1033.9000244140625,4588180000,^RUT,1002.7325042724609,26.070190536266153,1037.4933675130208,1000.9826238723028,23.22901449398114,104.78488343440257,80.80408010553757,1054.8728853449932,950.5921231999287
20,2016-03-01,1035.52001953125,1054.489990234375,1035.52001953125,1054.489990234375,4819750000,^RUT,1003.8375030517578,27.80409932167218,1048.1666666666667,1006.8961937313987,21.602043722762485,127.36595192852215,80.16861698556352,1059.4457016951021,948.2293044084134
21,2016-03-02,1054.239990234375,1065.6800537109375,1052.1500244140625,1065.6700439453125,4666610000,^RUT,1006.67900390625,31.0560157487314,1061.1667073567708,1013.4021490187872,21.70136536059733,146.73288229968105,79.28481632428337,1068.7910354037128,944.5669724087873
22,2016-03-03,1065.6400146484375,1076.0899658203125,1064.5999755859375,1076.050048828125,5081700000,^RUT,1009.9665069580078,34.723056947996355,1072.2466634114583,1021.9981020972843,21.58829960206739,155.17220667489684,86.74289982326968,1079.4126208540006,940.520393062015
23,2016-03-04,1076.3399658203125,1088.239990234375,1073.8199462890625,1081.9300537109375,6049930000,^RUT,1013.3235107421875,38.27753201939925,1081.3299967447917,1030.183577764602,22.208846942097143,153.5316657472541,86.82163566161812,1089.8785747809861,936.768446703389
