Unnamed: 0,Date,Open,High,Low,Close,Volume,Ticker,TP,TP_SMA,MD,CCI,SMA_14,STD_14,RSI,BU,BL,Pos,Strategy,Balance,Actions,Return rate,strategy
19,2010-02-19,1105.489990234375,1112.4200439453125,1100.800048828125,1109.1700439453125,3944280000,^GSPC,1107.46337890625,1080.2816731770831,15.76067220052082,114.97693069321588,1082.7150006975446,16.513207221495033,73.30358632241308,1115.7414151405346,1049.6885862545546,1105.489990234375,BB_CCI,100000.0,,,BollingerCCIStrategy
20,2010-02-22,1110.0,1112.2900390625,1105.3800048828125,1108.010009765625,3814440000,^GSPC,1108.5600179036458,1085.210343424479,16.48767089843748,94.412665977296,1084.458336239769,17.906305836665023,93.2541434017676,1120.2709479130997,1048.6457245664392,1110.0,BB_CCI,100000.0,,,BollingerCCIStrategy
21,2010-02-23,1107.489990234375,1108.5799560546875,1092.1800537109375,1094.5999755859375,4521050000,^GSPC,1098.4533284505208,1088.907344563802,14.699866536458265,43.29283699296708,1084.442862374442,17.893168841146988,78.49542762194316,1120.229200056736,1048.656524692148,1107.489990234375,BB_CCI,100000.0,,,BollingerCCIStrategy
22,2010-02-24,1095.8900146484375,1106.4200439453125,1095.5,1105.239990234375,4168360000,^GSPC,1102.3866780598958,1092.150675455729,13.307202148437456,51.28051456641052,1084.7569115048364,18.185426238999646,76.87841467864173,1121.1277639828356,1048.386059026837,1095.8900146484375,BB_CCI,100000.0,,,BollingerCCIStrategy
23,2010-02-25,1101.239990234375,1103.5,1086.02001953125,1102.93994140625,4521130000,^GSPC,1097.4866536458333,1095.1946736653645,10.112800292968586,15.10943170417664,1086.407386416481,18.219718095602197,74.41969628024574,1122.846822607685,1049.9679502252764,1101.239990234375,BB_CCI,100000.0,,,BollingerCCIStrategy
24,2010-02-26,1103.0999755859375,1107.239990234375,1097.56005859375,1104.489990234375,3945190000,^GSPC,1103.0966796875,1098.2010091145833,7.025935872395758,46.45331869263968,1089.53762672061,16.917339074700838,74.26417994265954,1123.3723048700117,1055.7029485712085,1103.0999755859375,BB_CCI,100000.0,,,BollingerCCIStrategy
25,2010-03-01,1105.3599853515625,1116.1099853515625,1105.3599853515625,1115.7099609375,3847640000,^GSPC,1112.393310546875,1102.2306722005208,4.934537760416697,137.29943025769256,1093.1740548270088,15.861807441504888,78.65637695753324,1124.8976697100186,1061.450439943999,1105.3599853515625,BB_CCI,100000.0,,,BollingerCCIStrategy
26,2010-03-02,1117.010009765625,1123.4599609375,1116.510009765625,1118.31005859375,4134680000,^GSPC,1119.4266764322915,1105.1843383789062,5.4212060546874685,175.1435370618418,1096.7078624906994,15.80148703809689,74.79984666925866,1128.3108365668932,1065.1048884145057,1117.010009765625,BB_CCI,100000.0,,,BollingerCCIStrategy
27,2010-03-03,1119.3599853515625,1125.6400146484375,1116.5799560546875,1118.7900390625,3951320000,^GSPC,1120.336669921875,1107.376005045573,6.260005696614599,138.02612440977032,1100.5142909458705,14.469119983830376,71.1020862945197,1129.4525309135313,1071.5760509782097,1119.3599853515625,BB_CCI,100000.0,,,BollingerCCIStrategy
28,2010-03-04,1119.1199951171875,1123.72998046875,1116.6600341796875,1122.969970703125,3945010000,^GSPC,1121.1199951171875,1109.0723388671877,7.397459309895862,108.57472135857454,1103.9490530831474,13.085064660024642,68.05502983540069,1130.1191824031966,1077.7789237630982,1119.1199951171875,BB_CCI,100000.0,,,BollingerCCIStrategy
