,Unnamed: 0,Date,Open,High,Low,Close,Volume,Ticker,TP,TP_SMA,MD,CCI,SMA_20,STD_20,RSI,BU,BL,Pos,Strategy,Balance,Actions,Return rate
13436,13436,2015-06-23,5161.68017578125,5163.41015625,5139.330078125,5160.08984375,1613540000,^IXIC,5154.276692708333,5077.582991536458,29.642591145833286,172.4853737078584,5077.582991536458,39.45871042930978,57.15594407024626,5156.500412395078,4998.665570677839,19.0,BbCCI,100000.0,OrderType.OPEN_SHORT,
13437,13437,2015-06-24,5151.3798828125,5164.35986328125,5121.64013671875,5122.41015625,1628800000,^IXIC,5136.13671875,5080.0981608072925,32.660794270833456,114.38496663209992,5080.0981608072925,41.5595679323524,59.10983909595854,5163.217296671997,4996.979024942588,0.0,BbCCI,197789.9703201172,,
13438,13438,2015-06-25,5139.47998046875,5141.7099609375,5102.16015625,5112.18994140625,1614760000,^IXIC,5118.686686197917,5081.284497070313,34.08439778645834,73.15603141341911,5081.284497070313,42.33749698111109,58.33127142984494,5165.959491032535,4996.60950310809,0.0,BbCCI,197789.9703201172,,
13439,13439,2015-06-26,5113.259765625,5121.47021484375,5060.81982421875,5080.509765625,3843810000,^IXIC,5087.599934895833,5081.880834960938,34.17923746744782,11.15511512964917,5081.880834960938,42.338295982430665,56.86318978121058,5166.5574269258,4997.204242996077,0.0,BbCCI,197789.9703201172,,
13440,13440,2015-06-29,5021.2099609375,5051.009765625,4956.22998046875,4958.47021484375,2025580000,^IXIC,4988.569986979167,5077.515836588542,38.107736002604085,-155.6041877398974,5077.515836588542,47.21051080431685,48.16880904989788,5171.936858197176,4983.094814979908,0.0,BbCCI,197789.9703201172,,
13441,13441,2015-06-30,5000.14990234375,5008.759765625,4968.259765625,4986.8701171875,2034430000,^IXIC,4987.963216145833,5073.182495117188,42.007743326822855,-135.24376257387294,5073.182495117188,51.29050458439133,40.600522353966845,5175.763504285971,4970.601485948406,0.0,BbCCI,197789.9703201172,,
13442,13442,2015-07-01,5029.0498046875,5038.5498046875,4994.4599609375,5013.1201171875,1814560000,^IXIC,5015.376627604167,5068.970987955729,42.734521484375,-83.60822194012752,5068.970987955729,52.451552317752615,41.13546144900443,5173.874092591233,4964.067883320224,0.0,BbCCI,197789.9703201172,,
13443,13443,2015-07-02,5024.2998046875,5027.47021484375,4990.740234375,5009.2099609375,1490810000,^IXIC,5009.14013671875,5065.985994466146,45.1225162760416,-83.98742274571654,5065.985994466146,54.1312495364844,43.99177309185061,5174.248493539115,4957.723495393177,0.0,BbCCI,197789.9703201172,,
13444,13444,2015-07-06,4963.7998046875,5020.7099609375,4960.93017578125,4991.93994140625,1741500000,^IXIC,4991.193359375,5062.729663085937,47.72758138020826,-99.92307961450858,5062.729663085937,56.643894098047454,46.353063261850615,5176.017451282032,4949.441874889842,0.0,BbCCI,197789.9703201172,,
13445,13445,2015-07-07,4993.759765625,5001.990234375,4902.2099609375,4997.4599609375,2132080000,^IXIC,4967.220052083333,5059.345833333334,51.057470703125,-120.29030552083616,5059.345833333334,60.2977205531893,38.5654848822225,5179.941274439712,4938.750392226955,0.0,BbCCI,197789.9703201172,,
13446,13446,2015-07-08,4953.97998046875,4965.4501953125,4901.509765625,4909.759765625,1931520000,^IXIC,4925.5732421875,5055.365991210938,55.03731282552085,-157.2178852976907,5055.365991210938,66.38159165517182,31.77380172466492,5188.129174521281,4922.602807900595,0.0,BbCCI,197789.9703201172,,
13447,13447,2015-07-09,4976.14990234375,4982.18994140625,4920.39990234375,4922.39990234375,1861600000,^IXIC,4941.663248697917,5049.323819986979,60.23882649739585,-119.1485929690397,5049.323819986979,71.03407861051538,23.424617203866816,5191.39197720801,4907.255662765949,0.0,BbCCI,197789.9703201172,,
13448,13448,2015-07-10,4981.240234375,5008.0498046875,4966.509765625,4997.7001953125,1590230000,^IXIC,4990.753255208333,5044.545654296875,61.09099934895835,-58.70193608638812,5044.545654296875,71.62636841267944,32.473536884864174,5187.798391122234,4901.292917471516,0.0,BbCCI,197789.9703201172,,
13449,13449,2015-07-13,5037.27001953125,5074.81005859375,5036.68017578125,5071.509765625,1694140000,^IXIC,5061.0,5044.890649414063,61.43599446614585,17.48090374480621,5044.890649414063,71.69139787632956,39.059516792517286,5188.273445166722,4901.507853661404,0.0,BbCCI,197789.9703201172,,
13450,13450,2015-07-14,5077.1201171875,5116.52001953125,5075.1201171875,5104.89013671875,1682660000,^IXIC,5098.843424479167,5048.978149414063,62.52717285156255,53.16651176439508,5048.978149414063,72.35058547681737,43.93244166748031,5193.679320367697,4904.276978460428,0.0,BbCCI,197789.9703201172,,
13451,13451,2015-07-15,5111.10986328125,5125.31982421875,5088.1201171875,5098.93994140625,1691350000,^IXIC,5104.126627604167,5051.831648763021,64.90317138671881,53.71589474372716,5051.831648763021,73.3887810291318,46.3948027379482,5198.609210821284,4905.0540867047575,0.0,BbCCI,197789.9703201172,,
